vehicle_id,fir_number,reg_number,vehicle_type,make_color
V0000052,FIR-2023-000080,KA18OH7613,Motorcycle,Blue Bajaj
V0000053,FIR-2023-000080,KA39FV6967,Scooter,Grey TVS
V0000054,FIR-2025-000082,KA38SV0444,Scooter,Blue Maruti
V0000055,FIR-2025-000082,KA04XE1920,SUV,Silver Hero
V0000056,FIR-2023-000084,KA18YN4133,Motorcycle,
V0000057,FIR-2024-000085,KA46HG2307,Tempo,Blue Hyundai
V0000058,FIR-2026-000087,KA43CL7632,Auto Rickshaw,Maroon Maruti
V0000059,FIR-2026-000087,KA43QR9755,Auto Rickshaw,White Maruti
V0000060,FIR-2023-000088,KA28KY4864,Scooter,
V0000061,FIR-2026-000091,KA18VI5036,Tempo,Silver Hero
V0000062,FIR-2026-000091,KA27BA0430,Scooter,Maroon Hyundai
V0000063,FIR-2024-000093,KA37GO4198,Motorcycle,Silver Maruti
V0000064,FIR-2023-000096,KA35ON1020,Mini Truck,White Honda
V0000065,FIR-2023-000100,KA47QU4425,Mini Truck,White Maruti
V0000066,FIR-2024-000101,KA05NN5421,Scooter,
V0000067,FIR-2024-000101,KA16EP1874,SUV,Silver Maruti
V0000068,FIR-2025-000102,KA01TL7763,Mini Truck,
V0000069,FIR-2024-000105,KA06UN2223,Car,Grey Hero
V0000070,FIR-2025-000106,KA06YE4954,Tempo,Blue TVS
V0000071,FIR-2023-000108,KA38AJ9433,Mini Truck,Silver TVS
V0000072,FIR-2023-000108,KA43QR9755,Mini Truck,Grey TVS
V0000073,FIR-2025-000110,KA08BX1194,Auto Rickshaw,Blue Hero
V0000074,FIR-2026-000111,KA01NP1729,Auto Rickshaw,Red Hyundai
V0000075,FIR-2025-000114,KA52AX4094,Tempo,
V0000076,FIR-2025-000114,KA19BK5728,Mini Truck,White TVS
V0000077,FIR-2026-000115,KA01NP1729,Tempo,
V0000078,FIR-2023-000116,KA04ZD9065,Auto Rickshaw,Grey TVS
V0000079,FIR-2024-000117,KA36KC7216,Scooter,Maroon TVS
V0000080,FIR-2024-000117,KA15UF2406,Tempo,Black Bajaj
V0000081,FIR-2026-000119,KA18OH7613,Scooter,Blue Hero
V0000082,FIR-2024-000121,KA25NL2088,Auto Rickshaw,White Hero
V0000083,FIR-2026-000123,KA35RZ3197,Motorcycle,Maroon Honda
V0000084,FIR-2024-000125,KA43FJ3799,Car,Silver Hero
V0000085,FIR-2026-000127,KA49HU4543,Car,White Hyundai
V0000086,FIR-2024-000129,KA06DR2773,Scooter,Silver Hyundai
V0000087,FIR-2024-000129,KA16EP1874,Tempo,Grey Hyundai
V0000088,FIR-2025-000130,KA32EX8963,Auto Rickshaw,Red Honda
V0000089,FIR-2026-000131,KA07BT7679,Mini Truck,
V0000090,FIR-2026-000135,KA21WF9614,SUV,Blue Honda
V0000091,FIR-2023-000136,KA09JB6214,SUV,Red Bajaj
V0000092,FIR-2026-000139,KA50LA7820,Scooter,Silver Hyundai
V0000093,FIR-2025-000142,KA26HE0090,Auto Rickshaw,Grey Honda
V0000094,FIR-2026-000143,KA07WY4941,Car,Grey Honda
V0000095,FIR-2023-000148,KA05AX0529,SUV,Maroon Hyundai
V0000096,FIR-2024-000149,KA50LF9926,SUV,
V0000097,FIR-2026-000151,KA51SZ0672,SUV,Grey Bajaj
V0000098,FIR-2025-000154,KA37GO4198,SUV,White Bajaj
V0000099,FIR-2023-000160,KA40RA6455,Auto Rickshaw,
V0000100,FIR-2024-000161,KA42UZ6384,Auto Rickshaw,
V0000101,FIR-2025-000162,KA17TK0466,Tempo,
V0000102,FIR-2025-000162,KA48EN0761,Mini Truck,Blue Hero
V0000103,FIR-2026-000163,KA22WO9679,Mini Truck,Red Bajaj
V0000104,FIR-2024-000165,KA15YA3255,SUV,Blue Hyundai
V0000105,FIR-2026-000167,KA31HV7180,Car,Blue Hero
V0000106,FIR-2023-000168,KA39XW1876,Tempo,Red Honda
V0000107,FIR-2023-000168,KA32HS8109,Scooter,Grey TVS
V0000108,FIR-2026-000171,KA06PA8837,Scooter,Red Honda
V0000109,FIR-2023-000172,KA18KH1419,Tempo,Grey Maruti
V0000110,FIR-2025-000174,KA45VM6677,Auto Rickshaw,White TVS
V0000111,FIR-2024-000177,KA15FZ8486,Mini Truck,
V0000112,FIR-2023-000180,KA04LH1124,Motorcycle,Red TVS
V0000113,FIR-2024-000181,KA37GO4198,Motorcycle,Black Honda
V0000114,FIR-2025-000182,KA14MN6844,Auto Rickshaw,Silver Maruti
V0000115,FIR-2025-000186,KA14NM9569,Car,Silver TVS
V0000116,FIR-2025-000186,KA49VO1314,Car,White Hyundai
V0000117,FIR-2026-000187,KA50CC0158,SUV,
V0000118,FIR-2023-000192,KA31CA7324,Car,White TVS
V0000119,FIR-2025-000194,KA26HE0090,Motorcycle,
V0000120,FIR-2023-000196,KA49YD6965,Scooter,Silver Honda
V0000121,FIR-2024-000197,KA48JW3511,Mini Truck,Red Maruti
V0000122,FIR-2024-000197,KA37IG8373,Motorcycle,White Bajaj
V0000123,FIR-2025-000198,KA50LF9926,Motorcycle,Black Honda
V0000124,FIR-2025-000198,KA18OH7613,Tempo,Black Hero
V0000125,FIR-2026-000199,KA37NR8004,Tempo,Maroon Hero
V0000126,FIR-2026-000199,KA16GA2496,Car,Silver Hyundai
V0000127,FIR-2025-000210,KA35KE4173,Mini Truck,
V0000128,FIR-2023-000212,KA15HO9987,Scooter,White TVS
V0000129,FIR-2023-000212,KA14NM9569,Auto Rickshaw,Blue Maruti
V0000130,FIR-2024-000213,KA15IN7956,Car,Red Bajaj
V0000131,FIR-2024-000217,KA30WO6087,Scooter,Silver Honda
V0000132,FIR-2024-000217,KA37GO4198,Motorcycle,Black TVS
V0000133,FIR-2026-000219,KA10NR9309,Car,White Honda
V0000134,FIR-2023-000228,KA18OH7613,Car,Blue Hero
V0000135,FIR-2025-000230,KA09DT8528,Mini Truck,Blue Bajaj
V0000136,FIR-2023-000232,KA38AD7814,Motorcycle,Red Maruti
V0000137,FIR-2025-000234,KA48PO4246,Scooter,Maroon Honda
V0000138,FIR-2025-000238,KA18RF0104,Tempo,White Maruti
V0000139,FIR-2026-000239,KA47GL4908,Tempo,White Hero
V0000140,FIR-2026-000239,KA31MA2807,Car,
V0000141,FIR-2024-000241,KA22AB0188,Tempo,
V0000142,FIR-2025-000242,KA50CE2879,Tempo,Blue Hyundai
V0000143,FIR-2026-000243,KA40RO5817,Tempo,Maroon Hyundai
V0000144,FIR-2024-000245,KA19GX0381,SUV,
V0000145,FIR-2025-000246,KA23GQ4222,Mini Truck,Grey Honda
V0000146,FIR-2026-000251,KA06EE3788,Auto Rickshaw,Blue Hero
V0000147,FIR-2025-000254,KA02MK6624,SUV,
V0000148,FIR-2026-000255,KA18UB0482,Tempo,Silver Bajaj
V0000149,FIR-2026-000255,KA33NT6400,Auto Rickshaw,
V0000150,FIR-2023-000256,KA29OT4612,Auto Rickshaw,
V0000151,FIR-2024-000257,KA11VD1287,Mini Truck,
V0000152,FIR-2025-000258,KA06UN2223,Mini Truck,
V0000153,FIR-2025-000258,KA51PV8411,Scooter,Black Honda
V0000154,FIR-2026-000259,KA23RN6071,Motorcycle,Black Maruti
V0000155,FIR-2026-000263,KA01NP1729,Mini Truck,Grey Bajaj
V0000156,FIR-2024-000265,KA23RN6071,Motorcycle,
V0000157,FIR-2026-000267,KA35UK9639,Auto Rickshaw,Maroon TVS
V0000158,FIR-2023-000268,KA14NM9569,Car,Blue Hyundai
V0000159,FIR-2026-000271,KA38FA5338,Scooter,
V0000160,FIR-2023-000272,KA06EE3788,Motorcycle,Red TVS
V0000161,FIR-2024-000273,KA49YD6965,Car,Silver Hyundai
V0000162,FIR-2025-000274,KA42SF9615,SUV,Black Honda
V0000163,FIR-2026-000275,KA15IN7956,Motorcycle,
V0000164,FIR-2023-000276,KA28RO2607,Scooter,Silver Bajaj
V0000165,FIR-2023-000276,KA13WL5733,SUV,Maroon Honda
V0000166,FIR-2026-000279,KA44TZ1983,Motorcycle,Silver Hyundai
V0000167,FIR-2026-000279,KA43QR9755,Tempo,Red Maruti
V0000168,FIR-2024-000281,KA50UB0508,Motorcycle,Maroon Honda
V0000169,FIR-2024-000281,KA43OD4133,Motorcycle,
V0000170,FIR-2024-000285,KA08LN0721,Auto Rickshaw,Grey Bajaj
V0000171,FIR-2024-000285,KA30NX9707,Tempo,Blue Bajaj
V0000172,FIR-2026-000287,KA41FG6674,Motorcycle,Silver Hero
V0000173,FIR-2025-000290,KA49YR6469,Scooter,White Maruti
V0000174,FIR-2024-000293,KA48PO4246,SUV,
V0000175,FIR-2024-000293,KA05WJ3841,Mini Truck,Grey Maruti
V0000176,FIR-2026-000295,KA25PA5763,SUV,Black Maruti
V0000177,FIR-2024-000297,KA06EE3788,Scooter,Black Bajaj
V0000178,FIR-2026-000299,KA26FA6063,Tempo,Red Hero
V0000179,FIR-2023-000300,KA24YR3189,Auto Rickshaw,White TVS
V0000180,FIR-2024-000301,KA47FO2091,SUV,Red Maruti
V0000181,FIR-2025-000302,KA06UN2223,Car,Black Maruti
V0000182,FIR-2025-000302,KA17XX6003,Car,Black Hyundai
V0000183,FIR-2023-000304,KA04SE3270,Motorcycle,
V0000184,FIR-2023-000304,KA21VA0075,Auto Rickshaw,Grey Hero
V0000185,FIR-2024-000305,KA05OJ3495,Tempo,Red Maruti
V0000186,FIR-2024-000305,KA53HK2480,Auto Rickshaw,Silver TVS
V0000187,FIR-2025-000306,KA01NP1729,Motorcycle,Blue TVS
V0000188,FIR-2024-000309,KA52TH7999,Motorcycle,
V0000189,FIR-2026-000311,KA36NQ4149,Scooter,
V0000190,FIR-2023-000312,KA11DU9961,SUV,Black TVS
V0000191,FIR-2023-000316,KA48PO4246,Mini Truck,
V0000192,FIR-2024-000317,KA02MK6624,Car,
V0000193,FIR-2025-000322,KA52OI4375,Tempo,Grey Maruti
V0000194,FIR-2025-000322,KA42FU0414,SUV,Maroon TVS
V0000195,FIR-2026-000323,KA04LH1124,SUV,Maroon Bajaj
V0000196,FIR-2023-000324,KA20YM6865,Scooter,
V0000197,FIR-2023-000328,KA01ZE0297,Car,
V0000198,FIR-2024-000329,KA44YA7542,Car,Blue Hyundai
V0000199,FIR-2026-000331,KA38OX0130,Scooter,Black Bajaj
V0000200,FIR-2025-000334,KA13KS5527,SUV,Silver Honda
V0000201,FIR-2026-000335,KA40RA6455,SUV,Blue Hero
V0000202,FIR-2023-000336,KA23RN6071,Tempo,Black Bajaj
V0000203,FIR-2024-000345,KA34KY6352,SUV,Maroon Maruti
V0000204,FIR-2023-000348,KA35ZY6594,Scooter,Black Bajaj
V0000205,FIR-2025-000350,KA35XX8947,SUV,Silver Hyundai
V0000206,FIR-2026-000355,KA35ON1020,Car,Red Bajaj
V0000207,FIR-2024-000357,KA50LF9926,Mini Truck,Blue TVS
V0000208,FIR-2025-000358,KA23YE4875,Auto Rickshaw,Grey Hero
V0000209,FIR-2026-000359,KA50YQ7939,Auto Rickshaw,White Honda
V0000210,FIR-2026-000359,KA12KV1025,Car,
V0000211,FIR-2023-000360,KA17MU7045,Car,Red Honda
V0000212,FIR-2024-000361,KA50UB0508,Motorcycle,
V0000213,FIR-2024-000361,KA07WY4941,Mini Truck,Blue Hyundai
V0000214,FIR-2026-000363,KA48AY5216,Scooter,
V0000215,FIR-2025-000370,KA38SV0444,Motorcycle,Grey Hyundai
V0000216,FIR-2026-000371,KA27XE1148,Mini Truck,Silver Hyundai
V0000217,FIR-2025-000374,KA11ZN8855,Auto Rickshaw,Grey TVS
V0000218,FIR-2026-000375,KA48XY8668,Tempo,White Maruti
V0000219,FIR-2023-000376,KA26HE0090,Mini Truck,White TVS
V0000220,FIR-2025-000378,KA46EN2885,SUV,
V0000221,FIR-2026-000379,KA45AY9432,Scooter,Maroon TVS
V0000222,FIR-2023-000380,KA02MK6624,Motorcycle,
V0000223,FIR-2024-000381,KA02DT1443,Car,Red Maruti
V0000224,FIR-2023-000384,KA06EE3788,Motorcycle,Silver Bajaj
V0000225,FIR-2024-000393,KA25VG2356,Auto Rickshaw,Maroon Hero
V0000226,FIR-2024-000393,KA05SW3978,Mini Truck,Silver Maruti
V0000227,FIR-2023-000396,KA40ZR7921,Car,
V0000228,FIR-2024-000397,KA35HS0532,SUV,Red TVS
V0000229,FIR-2024-000397,KA40XT9011,Car,
V0000230,FIR-2025-000398,KA01QR7124,Car,Silver Hero
V0000231,FIR-2024-000405,KA43SY2757,Car,White Hero
V0000232,FIR-2025-000406,KA15IN7956,Motorcycle,Maroon TVS
V0000233,FIR-2026-000407,KA30PV0610,Car,Silver Honda
V0000234,FIR-2023-000408,KA09GW1624,Auto Rickshaw,Maroon TVS
V0000235,FIR-2024-000409,KA47FO2091,Tempo,White Hyundai
V0000236,FIR-2023-000416,KA33XY4553,SUV,Maroon Honda
V0000237,FIR-2023-000424,KA36TM2049,Mini Truck,Maroon Hyundai
V0000238,FIR-2026-000427,KA07WY4941,Motorcycle,Maroon Honda
V0000239,FIR-2026-000427,KA17IW6429,SUV,Blue Hero
V0000240,FIR-2026-000431,KA46WM8099,Scooter,Black Hero
V0000241,FIR-2023-000432,KA41AE5977,Scooter,
V0000242,FIR-2025-000434,KA47QU4425,SUV,
V0000243,FIR-2026-000435,KA17XX5986,Scooter,
V0000244,FIR-2023-000436,KA16XW7835,Tempo,Grey Honda
V0000245,FIR-2024-000437,KA22UE0765,Scooter,White Honda
V0000246,FIR-2025-000438,KA44MM3249,Tempo,Red Bajaj
V0000247,FIR-2026-000443,KA05QU5590,Motorcycle,
V0000248,FIR-2023-000444,KA52TH7999,Car,Black Bajaj
V0000249,FIR-2025-000446,KA37IV0308,Car,Grey Hyundai
V0000250,FIR-2025-000446,KA28AF4111,Car,
V0000251,FIR-2025-000450,KA14QI9019,Mini Truck,White Hyundai
V0000252,FIR-2025-000450,KA26HE0090,SUV,Black Bajaj
V0000253,FIR-2023-000452,KA15QI4590,Car,
V0000254,FIR-2025-000454,KA36YX3414,SUV,
V0000255,FIR-2024-000457,KA29TC5364,Scooter,Red Maruti
V0000256,FIR-2026-000463,KA05QU5590,Car,Silver Honda
V0000257,FIR-2026-000463,KA28NG4384,Scooter,Grey Hyundai
V0000258,FIR-2023-000464,KA04TN6823,Car,
V0000259,FIR-2025-000466,KA18KK8849,SUV,Black Honda
V0000260,FIR-2026-000467,KA10XS2694,Auto Rickshaw,Red TVS
V0000261,FIR-2023-000468,KA47SB1332,Scooter,Red TVS
V0000262,FIR-2025-000470,KA51WD9551,SUV,Maroon Honda
V0000263,FIR-2026-000471,KA06BU8180,Car,Black Hero
V0000264,FIR-2023-000472,KA46TI8529,Mini Truck,Red Maruti
V0000265,FIR-2023-000476,KA08OE7612,SUV,Blue Hyundai
V0000266,FIR-2025-000478,KA26JI4936,Auto Rickshaw,Silver Bajaj
V0000267,FIR-2023-000480,KA40TC7251,Scooter,
V0000268,FIR-2024-000481,KA50UB0508,Motorcycle,
V0000269,FIR-2026-000483,KA25UP7005,Scooter,White Bajaj
V0000270,FIR-2026-000483,KA35LS2544,Motorcycle,Silver Hero
V0000271,FIR-2026-000487,KA19PO9012,Tempo,Maroon Hero
V0000272,FIR-2024-000489,KA44SM0375,Tempo,Grey Hyundai
V0000273,FIR-2026-000491,KA34KM4617,Auto Rickshaw,
V0000274,FIR-2023-000492,KA20YM6865,SUV,Blue TVS
V0000275,FIR-2025-000494,KA15RW2734,Auto Rickshaw,Silver Maruti
V0000276,FIR-2026-000499,KA26HE0090,Mini Truck,Red Bajaj
V0000277,FIR-2023-000500,KA15KW4565,Motorcycle,Blue Bajaj
V0000278,FIR-2024-000501,KA32GT7337,Mini Truck,White Honda
V0000279,FIR-2026-000503,KA36LX8719,Motorcycle,Black Hero
V0000280,FIR-2023-000504,KA36PL7586,Motorcycle,Grey Honda
V0000281,FIR-2026-000507,KA50LF9926,Car,Maroon Hero
V0000282,FIR-2023-000508,KA23VU0078,Scooter,Black Honda
V0000283,FIR-2023-000524,KA30FB4262,Car,
V0000284,FIR-2023-000528,KA51XH1004,Auto Rickshaw,White Bajaj
V0000285,FIR-2024-000529,KA22NI0132,Mini Truck,Red Honda
V0000286,FIR-2024-000529,KA16EP1874,Mini Truck,Black Bajaj
V0000287,FIR-2026-000531,KA14NM9569,SUV,Blue Bajaj
V0000288,FIR-2026-000535,KA51HP5622,Car,
V0000289,FIR-2025-000538,KA18LO7562,Auto Rickshaw,
V0000290,FIR-2026-000539,KA27OL1319,Car,Red Bajaj
V0000291,FIR-2023-000540,KA03UV0220,Tempo,Red Maruti
V0000292,FIR-2023-000540,KA48CC0981,SUV,Red Hyundai
V0000293,FIR-2025-000542,KA30BR4082,Scooter,Blue Maruti
V0000294,FIR-2026-000543,KA47QU4425,Tempo,Red Honda
V0000295,FIR-2026-000543,KA24CQ3078,Motorcycle,
V0000296,FIR-2023-000544,KA05WJ3841,Tempo,
V0000297,FIR-2023-000544,KA37CR0672,SUV,
V0000298,FIR-2026-000551,KA37XB5925,Scooter,White Hyundai
V0000299,FIR-2023-000552,KA18YN4133,SUV,Maroon Maruti
V0000300,FIR-2024-000553,KA05WU4769,Mini Truck,White Maruti
V0000301,FIR-2024-000557,KA40YA7872,Tempo,Grey Hyundai
V0000302,FIR-2026-000559,KA15YJ4306,Scooter,Maroon Hero
V0000303,FIR-2024-000561,KA16GA2496,Tempo,Black Honda
V0000304,FIR-2025-000562,KA51LW8637,Mini Truck,Silver Honda
V0000305,FIR-2026-000563,KA43AV0844,Auto Rickshaw,White TVS
V0000306,FIR-2026-000567,KA20DS1365,Auto Rickshaw,
V0000307,FIR-2023-000568,KA30NX9707,Auto Rickshaw,Maroon TVS
V0000308,FIR-2024-000569,KA50WW5655,Motorcycle,
V0000309,FIR-2026-000571,KA17KD0005,Car,Blue Honda
V0000310,FIR-2025-000574,KA25PA5763,Auto Rickshaw,Silver TVS
V0000311,FIR-2026-000575,KA28RQ7317,Mini Truck,Grey Bajaj
V0000312,FIR-2026-000575,KA09FD4081,Motorcycle,Black Honda
V0000313,FIR-2023-000576,KA02KC0677,Scooter,Red TVS
V0000314,FIR-2024-000577,KA15XM0907,Auto Rickshaw,Maroon TVS
V0000315,FIR-2026-000579,KA18YN4133,SUV,Red Honda
V0000316,FIR-2026-000579,KA52TU7268,Motorcycle,White Honda
V0000317,FIR-2025-000582,KA30BR4082,Mini Truck,Blue Bajaj
V0000318,FIR-2025-000582,KA21KY6211,SUV,Maroon TVS
V0000319,FIR-2024-000585,KA35LG7514,Scooter,
V0000320,FIR-2025-000590,KA35ON1020,Mini Truck,Silver Maruti
V0000321,FIR-2024-000597,KA25OD4848,SUV,Silver Hyundai
V0000322,FIR-2024-000597,KA43QR9755,Car,Red Maruti
V0000323,FIR-2025-000598,KA44TZ1983,Tempo,White Honda
V0000324,FIR-2026-000599,KA49HU7872,Car,Red Hyundai
V0000325,FIR-2024-000605,KA08OE7612,Mini Truck,Silver TVS
V0000326,FIR-2023-000608,KA14EG5308,Mini Truck,Blue Honda
V0000327,FIR-2023-000608,KA39XW1876,Mini Truck,Silver Maruti
V0000328,FIR-2024-000613,KA27TS6810,Motorcycle,Maroon Bajaj
V0000329,FIR-2024-000613,KA46KL2618,SUV,White Bajaj
V0000330,FIR-2023-000616,KA13MW8547,Mini Truck,Black Honda
V0000331,FIR-2026-000619,KA45GB7255,SUV,Maroon Hero
V0000332,FIR-2023-000620,KA49HU4543,Auto Rickshaw,Grey Hero
V0000333,FIR-2023-000632,KA05NN5421,Mini Truck,Blue Honda
V0000334,FIR-2023-000632,KA22QM2800,Car,Grey TVS
V0000335,FIR-2024-000633,KA18OH7613,Tempo,Maroon Honda
V0000336,FIR-2025-000634,KA17VP2953,Motorcycle,Black Maruti
V0000337,FIR-2026-000635,KA09XS3490,Auto Rickshaw,Black Hero
V0000338,FIR-2025-000638,KA25KG7449,Scooter,Maroon Hyundai
V0000339,FIR-2023-000640,KA20YM6865,SUV,White Honda
V0000340,FIR-2023-000644,KA21UH6336,Scooter,Grey Honda
V0000341,FIR-2025-000646,KA06UN2223,Mini Truck,Blue Honda
V0000342,FIR-2026-000647,KA26HE0090,Tempo,
V0000343,FIR-2026-000647,KA14QC3666,Motorcycle,
V0000344,FIR-2024-000649,KA30LY2514,Car,Grey Maruti
V0000345,FIR-2024-000649,KA52TH7999,Tempo,Black Maruti
V0000346,FIR-2025-000650,KA02PD5214,Mini Truck,Maroon Honda
V0000347,FIR-2026-000651,KA05WJ3841,Car,White Bajaj
V0000348,FIR-2023-000652,KA25WE3505,Car,Black Hyundai
V0000349,FIR-2023-000652,KA18IZ1302,Car,Blue Honda
V0000350,FIR-2024-000653,KA15PO1466,Car,White TVS
V0000351,FIR-2023-000656,KA48WC7320,Scooter,Silver Hyundai
V0000352,FIR-2025-000658,KA08DN1953,Motorcycle,Silver TVS
V0000353,FIR-2026-000663,KA37SA1013,SUV,Maroon Bajaj
V0000354,FIR-2023-000664,KA01IG3130,Scooter,White Hero
V0000355,FIR-2026-000667,KA25PA5763,Scooter,Maroon Maruti
V0000356,FIR-2024-000669,KA18OH7613,Tempo,Maroon Hyundai
V0000357,FIR-2023-000672,KA05QU5590,Motorcycle,Silver TVS
V0000358,FIR-2024-000673,KA33KK0005,Tempo,White Hyundai
V0000359,FIR-2026-000675,KA50ZI0677,SUV,
V0000360,FIR-2023-000676,KA35CD2158,Tempo,Grey Bajaj
V0000361,FIR-2025-000678,KA02MA9676,SUV,Grey TVS
V0000362,FIR-2026-000679,KA46EN2885,Car,Blue Hero
V0000363,FIR-2026-000683,KA30QY7130,Tempo,Red TVS
V0000364,FIR-2023-000684,KA11AI7231,Auto Rickshaw,Silver Maruti
V0000365,FIR-2024-000689,KA20YM6865,Scooter,
V0000366,FIR-2023-000692,KA43QR9755,Car,Black TVS
V0000367,FIR-2025-000694,KA21YO8270,SUV,Grey Hyundai
V0000368,FIR-2025-000694,KA38SV0444,SUV,Grey Bajaj
V0000369,FIR-2025-000698,KA04LH1124,Mini Truck,Black TVS
V0000370,FIR-2026-000699,KA34SG5593,Motorcycle,Red Hero
V0000371,FIR-2024-000701,KA01JI2118,Auto Rickshaw,
V0000372,FIR-2024-000701,KA21YO8270,Tempo,Maroon Hyundai
V0000373,FIR-2026-000703,KA21AA4787,Scooter,Grey Hyundai
V0000374,FIR-2024-000705,KA14NM9569,Car,Silver Maruti
V0000375,FIR-2024-000705,KA01WY4819,Mini Truck,Blue Hero
V0000376,FIR-2026-000707,KA13VS5585,Tempo,Maroon Maruti
V0000377,FIR-2023-000708,KA22LN3069,Motorcycle,Blue Hero
V0000378,FIR-2023-000708,KA18OH7613,SUV,Maroon Maruti
V0000379,FIR-2025-000710,KA34FU1028,Mini Truck,White Hyundai
V0000380,FIR-2025-000710,KA29QD6753,Tempo,Silver Bajaj
V0000381,FIR-2023-000712,KA25MN8509,Motorcycle,Black Hero
V0000382,FIR-2023-000716,KA40TA5468,Tempo,
V0000383,FIR-2023-000716,KA16EP1874,Mini Truck,Black TVS
V0000384,FIR-2024-000717,KA16EP1874,Scooter,White Honda
V0000385,FIR-2026-000719,KA47QU4425,Motorcycle,White Honda
V0000386,FIR-2023-000720,KA13OW0867,Motorcycle,Blue TVS
V0000387,FIR-2023-000720,KA17HO7355,Motorcycle,White Honda
V0000388,FIR-2025-000722,KA11NA2108,Tempo,Silver Hero
V0000389,FIR-2024-000725,KA40GB6225,Car,Blue Honda
V0000390,FIR-2024-000725,KA08SC9315,Auto Rickshaw,Blue Bajaj
V0000391,FIR-2025-000726,KA07WY4941,Car,
V0000392,FIR-2025-000726,KA52EE9486,Scooter,
V0000393,FIR-2023-000728,KA08AD8594,Tempo,
V0000394,FIR-2023-000732,KA33UJ5033,Auto Rickshaw,Blue Hyundai
V0000395,FIR-2024-000733,KA45AY9432,Scooter,Red Maruti
V0000396,FIR-2026-000735,KA45FH9102,SUV,
V0000397,FIR-2024-000737,KA38KK1651,Scooter,Maroon Bajaj
V0000398,FIR-2026-000739,KA14HD0264,Mini Truck,White Bajaj
V0000399,FIR-2026-000739,KA50KZ9526,Car,Black Honda
