fir_number,district,police_station,crime_type,crime_category,severity,latitude,longitude,h3_r7,h3_r8,h3_r9,occurred_at,reported_at,hour,day_of_week,modus_operandi,description,status,victim_count,accused_count,property_value_inr,weapon_used,source
FIR-2025-000030,Bengaluru City,Bengaluru South PS,Robbery,Property,4,13.017673,77.578929,8760145b2ffffff,8860145b21fffff,8960145b20bffff,2025-10-11T08:32:00,2025-10-11T11:03:00,8,5,"knife brandished, valuables looted, victim assaulted","The victim states that knife brandished, valuables looted, victim assaulted. Reported at Bengaluru City.",ChargeSheeted,1,1,,Acid,demo-synthetic
FIR-2026-000031,Mangaluru,Mangaluru City PS,Chain Snatching,Property,3,12.930129,74.842579,876011254ffffff,8860112093fffff,8960112545bffff,2026-03-08T06:07:00,2026-03-08T18:29:00,6,6,"pillion rider snatched, mangalsutra pulled, fled towards main road","The victim states that pillion rider snatched, mangalsutra pulled, fled towards main road. Reported at Mangaluru.",Open,1,6,77500.0,,demo-synthetic
FIR-2023-000032,Bagalkote,Bagalkote City PS,Robbery,Property,4,16.21276,75.666644,8760ae3abffffff,8860ae3ab7fffff,8960ae3ab47ffff,2026-06-04T20:17:00,2026-06-04T22:32:00,20,3,"gang surrounded victim, wallet snatched, on isolated stretch","The victim states that gang surrounded victim, wallet snatched, on isolated stretch. Reported at Bagalkote.",ChargeSheeted,2,1,203900.0,,demo-synthetic
FIR-2024-000033,Bengaluru Rural,Bengaluru Market PS,Online Financial Fraud,Cybercrime,2,13.24033,77.588907,876016821ffffff,8860168219fffff,89601682183ffff,2024-10-07T15:32:00,2024-10-14T16:04:00,15,0,"fake customer-care number, OTP shared by victim, money routed through mule accounts","Investigation reveals that fake customer-care number, OTP shared by victim, money routed through mule accounts. Reported at Bengaluru Rural.",Closed,1,1,328600.0,,demo-synthetic
FIR-2025-000034,Bengaluru City,Bengaluru Industrial Area PS,Domestic Violence,Crime Against Women,2,12.968273,77.617159,87618925affffff,8861892ed3fffff,8961892ed27ffff,2025-07-28T17:53:00,2025-07-29T18:06:00,17,0,"frequent quarrels, subjected to cruelty, dowry-related","As per the FIR, frequent quarrels, subjected to cruelty, dowry-related. Reported at Bengaluru City.",UnderInvestigation,1,1,,,demo-synthetic
FIR-2026-000035,Bengaluru City,Bengaluru Town PS,Excise / Illicit Liquor,Narcotics,3,12.965315,77.571482,8760145b5ffffff,8860145b59fffff,8960145b58fffff,2025-03-30T16:13:00,2025-03-31T00:51:00,16,6,"tip-off received, illicit liquor seized, unit destroyed","Complainant reports that tip-off received, illicit liquor seized, unit destroyed. Reported at Bengaluru City.",Closed,1,1,,,demo-synthetic
FIR-2023-000036,Mandya,Mandya Nagar PS,Vehicle Theft,Property,3,12.498443,76.877765,876014315ffffff,8860143153fffff,89601431537ffff,2023-06-28T01:59:00,2023-06-28T04:27:00,1,2,"duplicate key used, vehicle parts stripped, near railway station","As per the FIR, duplicate key used, vehicle parts stripped, near railway station. Reported at Mandya.",Closed,1,1,,,demo-synthetic
FIR-2024-000037,Bengaluru City,Bengaluru North PS,Domestic Violence,Crime Against Women,2,12.971204,77.578941,8760145b5ffffff,8860145b5dfffff,8960145b5c3ffff,2024-09-19T22:46:00,2024-09-21T23:03:00,22,3,"frequent quarrels, thrown out of house, complaint to women's helpline","The victim states that frequent quarrels, thrown out of house, complaint to women's helpline. Reported at Bengaluru City.",Closed,1,1,,,demo-synthetic
FIR-2025-000038,Udupi,Udupi West PS,Murder,Violent,5,13.374925,74.761312,87601e812ffffff,88601e8127fffff,89601e81267ffff,2023-08-01T11:44:00,2023-08-01T17:48:00,11,1,"premeditated attack, strangled, previous enmity","Investigation reveals that premeditated attack, strangled, previous enmity. Reported at Udupi.",ChargeSheeted,1,1,,,demo-synthetic
FIR-2026-000039,Mandya,Mandya West PS,Burglary,Property,3,12.547596,76.880805,876014313ffffff,8860143135fffff,89601431343ffff,2023-10-22T05:58:00,2023-10-24T06:26:00,5,6,"rear window broken, jewellery taken, night-time entry","The victim states that rear window broken, jewellery taken, night-time entry. Reported at Mandya.",UnderInvestigation,5,1,,,demo-synthetic
FIR-2023-000040,Mangaluru,Mangaluru Cantonment PS,House Theft,Property,3,12.919942,74.862855,87601120dffffff,88601120d7fffff,89601120d67ffff,2024-02-27T02:32:00,2024-02-28T03:20:00,2,1,"false ceiling crawled, ornaments stolen, daytime when house empty","As per the FIR, false ceiling crawled, ornaments stolen, daytime when house empty. Reported at Mangaluru.",Open,1,6,363200.0,,demo-synthetic
FIR-2024-000041,Bengaluru City,Bengaluru North PS,Phishing / OTP Fraud,Cybercrime,3,12.950841,77.539753,8760145a0ffffff,8860145a07fffff,8960145a06bffff,2025-04-28T19:19:00,2025-04-30T19:40:00,19,0,"OTP obtained on pretext of reward, wallet balance transferred, caller spoofed bank IVR","Complainant reports that OTP obtained on pretext of reward, wallet balance transferred, caller spoofed bank IVR. Reported at Bengaluru City.",Closed,1,1,208600.0,,demo-synthetic
FIR-2025-000042,Mysuru,Mysuru Rural PS,Burglary,Property,3,12.303508,76.662685,876015d9cffffff,886015d9c3fffff,896015d9c23ffff,2024-09-01T09:21:00,2024-09-03T09:56:00,9,6,"rear window broken, cash and gold stolen, CCTV wires cut","Complainant reports that rear window broken, cash and gold stolen, CCTV wires cut. Reported at Mysuru.",Closed,1,1,,,demo-synthetic
FIR-2026-000043,Mysuru,Mysuru Rural PS,Robbery,Property,4,12.28681,76.614743,876015d8bffffff,886015d8b5fffff,896015d8b53ffff,2025-11-06T11:58:00,2025-11-06T13:46:00,11,3,"knife brandished, valuables looted, late night near ATM","As per the FIR, knife brandished, valuables looted, late night near ATM. Reported at Mysuru.",Closed,5,1,31400.0,Country-made pistol,demo-synthetic
FIR-2023-000044,Chitradurga,Chitradurga Rural PS,Assault,Violent,3,14.186057,76.404497,876012a84ffffff,886012a86bfffff,896012a86b7ffff,2023-08-24T23:28:00,2023-08-26T23:43:00,23,3,"old enmity, stabbed during scuffle, group attack","The victim states that old enmity, stabbed during scuffle, group attack. Reported at Chitradurga.",ChargeSheeted,1,1,,Sickle,demo-synthetic
FIR-2024-000045,Bengaluru City,Bengaluru Nagar PS,Online Financial Fraud,Cybercrime,3,12.938967,77.553257,8760145a0ffffff,8860145a0dfffff,8960145a0d3ffff,2024-09-19T03:07:00,2024-09-19T09:30:00,3,3,"remote-access app installed, amount debited via UPI, spoofed bank SMS","Investigation reveals that remote-access app installed, amount debited via UPI, spoofed bank SMS. Reported at Bengaluru City.",ChargeSheeted,1,1,653400.0,,demo-synthetic
FIR-2025-000046,Bengaluru City,Bengaluru City PS,Murder,Violent,5,12.977061,77.615798,8761892e9ffffff,8861892e99fffff,8961892e983ffff,2026-01-25T18:21:00,2026-01-25T19:41:00,18,6,"ambushed victim, head injuries inflicted, body found in field","On the date of incident, ambushed victim, head injuries inflicted, body found in field. Reported at Bengaluru City.",ChargeSheeted,1,1,,,demo-synthetic
FIR-2026-000047,Mandya,Mandya Lake PS,Phishing / OTP Fraud,Cybercrime,3,12.555871,76.875189,8760143acffffff,8860143acbfffff,8960143aca3ffff,2025-08-19T12:13:00,2025-08-21T12:17:00,12,1,"OTP obtained on pretext of reward, wallet balance transferred, caller spoofed bank IVR","Investigation reveals that OTP obtained on pretext of reward, wallet balance transferred, caller spoofed bank IVR. Reported at Mandya.",Closed,2,1,136600.0,,demo-synthetic
FIR-2023-000048,Bengaluru City,Bengaluru City PS,Online Financial Fraud,Cybercrime,4,13.039471,77.625896,8761892ccffffff,8861892cc5fffff,8961892cc43ffff,2024-08-06T04:55:00,2024-08-06T17:14:00,4,1,"UPI collect request, amount debited via UPI, spoofed bank SMS","The victim states that UPI collect request, amount debited via UPI, spoofed bank SMS. Reported at Bengaluru City.",Closed,1,1,574800.0,,demo-synthetic
FIR-2024-000049,Kalaburagi,Kalaburagi City PS,Cheating / Fraud,Economic,3,17.323684,76.80982,876085db5ffffff,886085db59fffff,896085db5bbffff,2024-06-03T13:15:00,2024-06-04T02:12:00,13,0,"posed as bank official, deposits collected and absconded, multiple victims targeted","As per the FIR, posed as bank official, deposits collected and absconded, multiple victims targeted. Reported at Kalaburagi.",Closed,1,1,495800.0,,demo-synthetic
FIR-2025-000050,Bengaluru City,Bengaluru North PS,House Theft,Property,3,12.956554,77.564782,8760145a6ffffff,8860145a65fffff,8960145a67bffff,2025-05-14T10:25:00,2025-05-14T11:25:00,10,2,"unlocked door entered, ornaments stolen, no forced entry","On the date of incident, unlocked door entered, ornaments stolen, no forced entry. Reported at Bengaluru City.",Closed,1,1,43700.0,,demo-synthetic
FIR-2026-000051,Bengaluru City,Bengaluru West PS,Phishing / OTP Fraud,Cybercrime,3,12.958431,77.610914,87618925affffff,88618925a9fffff,89618925a8bffff,2023-08-20T21:34:00,2023-08-21T10:02:00,21,6,"fake lottery message, card not present transaction, multiple small debits","Complainant reports that fake lottery message, card not present transaction, multiple small debits. Reported at Bengaluru City.",Open,1,1,93900.0,,demo-synthetic
FIR-2023-000052,Bengaluru City,Bengaluru Lake PS,Online Financial Fraud,Cybercrime,3,12.921993,77.545196,8760145a5ffffff,8860145a5dfffff,8960145a5cfffff,2025-08-28T13:07:00,2025-08-29T01:20:00,13,3,"phishing link sent, amount debited via UPI, withdrawn from distant ATM","Investigation reveals that phishing link sent, amount debited via UPI, withdrawn from distant ATM. Reported at Bengaluru City.",UnderInvestigation,1,1,,,demo-synthetic
FIR-2024-000053,Yadgir,Yadgir Industrial Area PS,Vehicle Theft,Property,3,16.760667,77.112316,8760a30b2ffffff,8860a30b2dfffff,8960a30b2c7ffff,2025-03-23T19:04:00,2025-03-23T23:05:00,19,6,"master key used, car taken from parking lot, outside shopping mall","The victim states that master key used, car taken from parking lot, outside shopping mall. Reported at Yadgir.",Closed,1,2,593100.0,,demo-synthetic
FIR-2025-000054,Hubballi-Dharwad,Hubballi-Dharwad North PS,Rioting,Violent,3,15.357183,75.116017,8760a895effffff,8860a895ebfffff,8960a895e87ffff,2026-03-13T23:03:00,2026-03-14T23:12:00,23,4,"mob gathered, stones pelted, communal tension","The victim states that mob gathered, stones pelted, communal tension. Reported at Hubballi-Dharwad.",ChargeSheeted,1,8,,Wooden stick,demo-synthetic
FIR-2026-000055,Bengaluru City,Bengaluru South PS,Burglary,Property,3,12.999309,77.634183,8761892e8ffffff,8861892e85fffff,8961892e847ffff,2024-11-18T00:29:00,2024-11-18T04:53:00,0,0,"ventilator forced, jewellery taken, CCTV wires cut","As per the FIR, ventilator forced, jewellery taken, CCTV wires cut. Reported at Bengaluru City.",Open,2,1,119800.0,,demo-synthetic
FIR-2023-000056,Bengaluru Rural,Bengaluru Cantonment PS,Vehicle Theft,Property,3,13.19833,77.613388,876016909ffffff,8860169091fffff,8960169090fffff,2025-07-04T02:59:00,2025-07-04T11:46:00,2,4,"ignition hot-wired, car taken from parking lot, from apartment basement","As per the FIR, ignition hot-wired, car taken from parking lot, from apartment basement. Reported at Bengaluru Rural.",UnderInvestigation,1,1,274900.0,,demo-synthetic
FIR-2024-000057,Ramanagara,Ramanagara East PS,Domestic Violence,Crime Against Women,3,12.739904,77.281435,87601456bffffff,88601456bbfffff,89601456ba7ffff,2026-03-14T06:06:00,2026-03-14T07:55:00,6,5,"frequent quarrels, subjected to cruelty, complaint to women's helpline","Investigation reveals that frequent quarrels, subjected to cruelty, complaint to women's helpline. Reported at Ramanagara.",ChargeSheeted,1,1,,,demo-synthetic
FIR-2025-000058,Raichur,Raichur Lake PS,Molestation,Crime Against Women,1,16.145851,77.370421,8760a3933ffffff,8860a39337fffff,8960a39337bffff,2024-01-20T08:05:00,2024-01-20T12:10:00,8,5,"followed victim, inappropriate touching, workplace incident","Complainant reports that followed victim, inappropriate touching, workplace incident. Reported at Raichur.",Open,1,1,,,demo-synthetic
FIR-2026-000059,Koppal,Koppal Nagar PS,Vehicle Theft,Property,3,15.323184,76.159253,8760acc98ffffff,8860acc983fffff,8960acc9837ffff,2025-11-06T01:20:00,2025-11-08T01:35:00,1,3,"master key used, car taken from parking lot, from apartment basement","Investigation reveals that master key used, car taken from parking lot, from apartment basement. Reported at Koppal.",UnderInvestigation,1,5,484300.0,,demo-synthetic
FIR-2023-000060,Bengaluru City,Bengaluru Cantonment PS,Online Financial Fraud,Cybercrime,2,12.933096,77.608652,876189258ffffff,8861892589fffff,89618925893ffff,2025-09-07T23:39:00,2025-09-14T23:44:00,23,6,"UPI collect request, card details captured, money routed through mule accounts","On the date of incident, UPI collect request, card details captured, money routed through mule accounts. Reported at Bengaluru City.",ChargeSheeted,1,1,160100.0,,demo-synthetic
FIR-2024-000061,Koppal,Koppal Lake PS,POCSO,Crime Against Children,5,15.343024,76.143747,8760acc9bffffff,8860acc9b3fffff,8960acc9b2bffff,2025-11-17T06:10:00,2025-11-17T11:07:00,6,0,"lured the minor, sexual assault on minor, counselling provided","Investigation reveals that lured the minor, sexual assault on minor, counselling provided. Reported at Koppal.",Closed,1,2,,,demo-synthetic
FIR-2025-000062,Mysuru,Mysuru Cantonment PS,House Theft,Property,2,12.312876,76.563189,876015caeffffff,886015cac5fffff,896015cae97ffff,2025-11-21T11:16:00,2025-11-21T12:34:00,11,4,"unlocked door entered, ornaments stolen, no forced entry","As per the FIR, unlocked door entered, ornaments stolen, no forced entry. Reported at Mysuru.",Closed,1,5,72300.0,,demo-synthetic
FIR-2026-000063,Bengaluru City,Bengaluru City PS,Cheating / Fraud,Economic,3,12.95979,77.555808,8760145a2ffffff,8860145a2dfffff,8960145a2d7ffff,2025-03-04T16:44:00,2025-03-04T23:01:00,16,1,"forged documents used, cheque dishonoured, multiple victims targeted","As per the FIR, forged documents used, cheque dishonoured, multiple victims targeted. Reported at Bengaluru City.",UnderInvestigation,1,4,3526600.0,,demo-synthetic
FIR-2023-000064,Bagalkote,Bagalkote Town PS,Dowry Harassment,Crime Against Women,3,16.140625,75.684738,8760ae311ffffff,8860ae3117fffff,8960ae31167ffff,2025-01-10T15:44:00,2025-01-10T18:28:00,15,4,"pressure for cash and gold, mental and physical harassment, marriage two years ago","Investigation reveals that pressure for cash and gold, mental and physical harassment, marriage two years ago. Reported at Bagalkote.",Closed,1,1,,,demo-synthetic
FIR-2024-000065,Bengaluru City,Bengaluru Market PS,Online Financial Fraud,Cybercrime,2,12.988511,77.593374,8760145b4ffffff,8860145b45fffff,8960145b44fffff,2025-11-01T21:53:00,2025-11-02T10:52:00,21,5,"UPI collect request, amount debited via UPI, money routed through mule accounts","Complainant reports that UPI collect request, amount debited via UPI, money routed through mule accounts. Reported at Bengaluru City.",UnderInvestigation,1,5,521800.0,,demo-synthetic
FIR-2025-000066,Hubballi-Dharwad,Hubballi-Dharwad Cantonment PS,Vehicle Theft,Property,2,15.35731,75.09985,8760a8958ffffff,8860a8958dfffff,8960a8958c7ffff,2024-02-22T21:45:00,2024-02-24T22:35:00,21,3,"master key used, vehicle parts stripped, from apartment basement","On the date of incident, master key used, vehicle parts stripped, from apartment basement. Reported at Hubballi-Dharwad.",ChargeSheeted,5,1,323200.0,,demo-synthetic
FIR-2026-000067,Bengaluru City,Bengaluru Nagar PS,Online Financial Fraud,Cybercrime,2,12.948964,77.615098,87618925effffff,88618925e3fffff,89618925e23ffff,2026-04-15T17:28:00,2026-04-16T06:04:00,17,2,"UPI collect request, card details captured, spoofed bank SMS","The victim states that UPI collect request, card details captured, spoofed bank SMS. Reported at Bengaluru City.",ChargeSheeted,1,1,797500.0,,demo-synthetic
