fir_number,district,police_station,crime_type,crime_category,severity,latitude,longitude,h3_r7,h3_r8,h3_r9,occurred_at,reported_at,hour,day_of_week,modus_operandi,description,status,victim_count,accused_count,property_value_inr,weapon_used,source
FIRNEW-2026-990011,Bengaluru City,Bengaluru Nagar PS,Phishing / OTP Fraud,Cybercrime,3,12.971997,77.615088,87618925affffff,88618925a5fffff,89618925a5bffff,2026-06-09T19:18:00,2026-06-10T02:11:00,19,1,"SIM swap executed, bank account drained, social engineering used","Complainant reports that SIM swap executed, bank account drained, social engineering used. Reported at Bengaluru City.",Open,1,1,143000.0,,demo-synthetic
FIRNEW-2023-990012,Bengaluru City,Mysuru South PS,Cheating / Fraud,Economic,3,12.988378,77.701954,8761892e0ffffff,8861892e47fffff,8961892e46fffff,2026-06-04T09:14:00,2026-06-09T09:48:00,9,3,"fake investment scheme, cheque dishonoured, multiple victims targeted","Investigation reveals that fake investment scheme, cheque dishonoured, multiple victims targeted. Reported at Mysuru.",Open,1,5,4228500.0,,demo-synthetic
FIRNEW-2024-990013,Yadgir,Yadgir East PS,Vehicle Theft,Property,2,16.745263,77.134395,8760a30b6ffffff,8860a30b6dfffff,8960a30b6d3ffff,2026-06-03T20:35:00,2026-06-04T01:19:00,20,2,"ignition hot-wired, two-wheeler driven away, from apartment basement","As per the FIR, ignition hot-wired, two-wheeler driven away, from apartment basement. Reported at Yadgir.",Open,1,1,386600.0,,demo-synthetic
FIRNEW-2025-990014,Bengaluru Rural,Bengaluru North PS,Burglary,Property,4,13.232223,77.583284,876016952ffffff,8860169525fffff,89601695247ffff,2026-06-03T03:06:00,2026-06-05T03:06:00,3,2,"rear window broken, electronics removed, CCTV wires cut","Complainant reports that rear window broken, electronics removed, CCTV wires cut. Reported at Bengaluru Rural.",Open,5,1,545200.0,,demo-synthetic
FIRNEW-2026-990015,Mysuru,Bengaluru Cantonment PS,Missing Person,Missing,2,12.302677,76.652609,876015d9dffffff,886015d9d5fffff,896015d9d47ffff,2026-06-10T15:30:00,2026-06-11T15:46:00,15,2,"last seen near bus stand, no contact since, search underway","On the date of incident, last seen near bus stand, no contact since, search underway. Reported at Bengaluru City.",Open,1,1,,,demo-synthetic
FIRNEW-2023-990016,Bengaluru City,Bengaluru East PS,Phishing / OTP Fraud,Cybercrime,2,12.948585,77.57909,87618925bffffff,88618925bbfffff,89618925ba7ffff,2026-06-08T03:52:00,2026-06-08T10:17:00,3,0,"OTP obtained on pretext of reward, wallet balance transferred, caller spoofed bank IVR","The victim states that OTP obtained on pretext of reward, wallet balance transferred, caller spoofed bank IVR. Reported at Bengaluru City.",Open,1,6,188600.0,,demo-synthetic
FIRNEW-2024-990017,Uttara Kannada,Uttara West PS,Drug Possession (NDPS),Narcotics,4,14.803779,74.704828,8760ad01bffffff,8860ad01b5fffff,8960ad01b57ffff,2026-06-08T08:36:00,2026-06-09T09:19:00,8,0,"tip-off acted upon, ganja seized, weighing scale recovered","On the date of incident, tip-off acted upon, ganja seized, weighing scale recovered. Reported at Uttara Kannada.",Open,1,1,,,demo-synthetic
FIRNEW-2025-990018,Bengaluru City,Haveri City PS,Missing Person,Missing,3,12.995674,77.687386,8761892e0ffffff,8861892e03fffff,8961892e077ffff,2026-06-01T10:09:00,2026-06-02T10:24:00,10,0,"left home without informing, whereabouts unknown, search underway","The victim states that left home without informing, whereabouts unknown, search underway. Reported at Haveri.",Open,1,1,,,demo-synthetic
FIRNEW-2026-990019,Bidar,Bidar Nagar PS,Cheating / Fraud,Economic,3,17.88471,77.578632,876084521ffffff,8860845215fffff,89608452147ffff,2026-06-02T17:48:00,2026-06-04T18:26:00,17,1,"posed as bank official, amount transferred to mule account, promised high returns","The victim states that posed as bank official, amount transferred to mule account, promised high returns. Reported at Bidar.",Open,2,2,620700.0,,demo-synthetic
FIRNEW-2023-990020,Davanagere,Davanagere Cantonment PS,Cheating / Fraud,Economic,4,14.497952,75.894985,87601359effffff,88601359e9fffff,89601359e8bffff,2026-06-10T19:14:00,2026-06-17T19:47:00,19,2,"posed as bank official, cheque dishonoured, shell company used","On the date of incident, posed as bank official, cheque dishonoured, shell company used. Reported at Davanagere.",Open,1,1,2516800.0,,demo-synthetic
FIRNEW-2024-990021,Mysuru,Belagavi Town PS,Robbery,Property,4,12.316888,76.640314,876015d99ffffff,886015d995fffff,896015d9943ffff,2026-06-07T03:19:00,2026-06-07T06:55:00,3,6,"gang surrounded victim, wallet snatched, on isolated stretch","As per the FIR, gang surrounded victim, wallet snatched, on isolated stretch. Reported at Belagavi.",Open,1,5,490200.0,,demo-synthetic
FIRNEW-2025-990022,Bengaluru City,Bengaluru North PS,POCSO,Crime Against Children,5,12.948847,77.584696,87618925bffffff,88618925bbfffff,89618925bbbffff,2026-06-10T07:39:00,2026-06-11T07:45:00,7,2,"inappropriate behaviour, abuse reported by parents, school vicinity","Investigation reveals that inappropriate behaviour, abuse reported by parents, school vicinity. Reported at Bengaluru City.",Open,1,1,,,demo-synthetic
FIRNEW-2026-990023,Ballari,Ballari Industrial Area PS,Domestic Violence,Crime Against Women,3,15.196754,76.901019,8760a18e2ffffff,8860a18e2bfffff,8960a18e2a3ffff,2026-06-13T12:40:00,2026-06-13T14:56:00,12,5,"frequent quarrels, thrown out of house, complaint to women's helpline","On the date of incident, frequent quarrels, thrown out of house, complaint to women's helpline. Reported at Ballari.",Open,1,1,,,demo-synthetic
FIRNEW-2023-990024,Bengaluru City,Vijayapura Nagar PS,Burglary,Property,4,12.988337,77.697764,8761892e0ffffff,8861892e09fffff,8961892e08bffff,2026-06-11T23:11:00,2026-06-12T07:39:00,23,3,"back door pried open, jewellery taken, CCTV wires cut","Investigation reveals that back door pried open, jewellery taken, CCTV wires cut. Reported at Vijayapura.",Open,1,1,316200.0,,demo-synthetic
FIRNEW-2024-990025,Tumakuru,Tumakuru Cantonment PS,Rioting,Violent,3,13.330087,77.084918,876016a0bffffff,886016a0b7fffff,896016a0b67ffff,2026-06-12T00:02:00,2026-06-12T02:20:00,0,4,"mob gathered, stones pelted, communal tension","As per the FIR, mob gathered, stones pelted, communal tension. Reported at Tumakuru.",Open,1,8,,Iron rod,demo-synthetic
FIRNEW-2025-990026,Mysuru,Mysuru West PS,Burglary,Property,3,12.292676,76.615783,876015ca4ffffff,886015ca49fffff,896015ca497ffff,2026-06-12T03:04:00,2026-06-13T03:18:00,3,4,"grille cut open, cash and gold stolen, guard dog poisoned","Investigation reveals that grille cut open, cash and gold stolen, guard dog poisoned. Reported at Mysuru.",Open,1,1,108900.0,,demo-synthetic
FIRNEW-2026-990027,Mysuru,Bengaluru Industrial Area PS,Vehicle Theft,Property,3,12.30988,76.654356,876015d98ffffff,886015d98bfffff,896015d98bbffff,2026-06-05T10:27:00,2026-06-05T13:25:00,10,4,"steering lock broken, vehicle parts stripped, near railway station","Investigation reveals that steering lock broken, vehicle parts stripped, near railway station. Reported at Bengaluru City.",Open,1,1,,,demo-synthetic
FIRNEW-2023-990028,Tumakuru,Tumakuru North PS,Domestic Violence,Crime Against Women,3,13.33407,77.037593,876016aecffffff,886016a535fffff,896016a534bffff,2026-06-05T10:04:00,2026-06-05T11:14:00,10,4,"frequent quarrels, thrown out of house, complaint to women's helpline","As per the FIR, frequent quarrels, thrown out of house, complaint to women's helpline. Reported at Tumakuru.",Open,3,6,,,demo-synthetic
FIRNEW-2024-990029,Bengaluru City,Bengaluru Market PS,Assault,Violent,3,13.002037,77.6535,8761892eeffffff,8861892ee1fffff,8961892ee03ffff,2026-06-13T00:28:00,2026-06-13T01:57:00,0,5,"argument over money, stabbed during scuffle, alcohol involved","On the date of incident, argument over money, stabbed during scuffle, alcohol involved. Reported at Bengaluru City.",Open,1,6,,Sickle,demo-synthetic
FIRNEW-2025-990030,Bengaluru City,Bengaluru Town PS,Missing Person,Missing,1,12.987839,77.700992,8761892e0ffffff,8861892e47fffff,8961892e46fffff,2026-06-12T15:44:00,2026-06-15T16:15:00,15,4,"left home without informing, whereabouts unknown, search underway","On the date of incident, left home without informing, whereabouts unknown, search underway. Reported at Bengaluru City.",Open,2,1,,,demo-synthetic
FIRNEW-2026-990031,Tumakuru,Tumakuru Rural PS,Excise / Illicit Liquor,Narcotics,2,13.288405,77.106063,876016a0dffffff,886016a0d1fffff,896016a0d57ffff,2026-06-08T08:38:00,2026-06-08T10:34:00,8,0,"vehicle intercepted, illicit liquor seized, smuggled across border","As per the FIR, vehicle intercepted, illicit liquor seized, smuggled across border. Reported at Tumakuru.",Open,1,5,,,demo-synthetic
FIRNEW-2023-990032,Bengaluru Rural,Bengaluru Rural PS,Phishing / OTP Fraud,Cybercrime,2,13.231951,77.587148,876016952ffffff,8860169525fffff,89601695243ffff,2026-06-07T23:20:00,2026-06-10T23:36:00,23,6,"OTP obtained on pretext of reward, card not present transaction, caller spoofed bank IVR","On the date of incident, OTP obtained on pretext of reward, card not present transaction, caller spoofed bank IVR. Reported at Bengaluru Rural.",Open,1,1,110700.0,,demo-synthetic
FIRNEW-2024-990033,Mysuru,Kalaburagi North PS,Attempt to Murder,Violent,4,12.305341,76.648501,876015d9dffffff,886015d9d7fffff,896015d9d6bffff,2026-06-01T20:48:00,2026-06-01T22:36:00,20,0,"ambush near residence, fired shot but missed, gang rivalry","Complainant reports that ambush near residence, fired shot but missed, gang rivalry. Reported at Kalaburagi.",Open,1,5,,Wooden stick,demo-synthetic
FIRNEW-2025-990034,Bengaluru City,Bengaluru Lake PS,Phishing / OTP Fraud,Cybercrime,3,12.969237,77.5766,8760145b5ffffff,8860145b5dfffff,8960145b5d7ffff,2026-06-13T05:30:00,2026-06-16T06:11:00,5,5,"fake lottery message, bank account drained, social engineering used","Investigation reveals that fake lottery message, bank account drained, social engineering used. Reported at Bengaluru City.",Open,1,1,210800.0,,demo-synthetic
FIRNEW-2026-990035,Bengaluru City,Bengaluru Nagar PS,Phishing / OTP Fraud,Cybercrime,3,12.959325,77.606478,87618925affffff,88618925a1fffff,89618925a17ffff,2026-06-08T08:11:00,2026-06-11T08:38:00,8,0,"fake lottery message, bank account drained, multiple small debits","On the date of incident, fake lottery message, bank account drained, multiple small debits. Reported at Bengaluru City.",Open,1,5,110800.0,,demo-synthetic
FIRNEW-2023-990036,Bengaluru City,Bidar North PS,Rioting,Violent,3,12.9885,77.702376,8761892e0ffffff,8861892e47fffff,8961892e46fffff,2026-06-11T06:30:00,2026-06-12T06:36:00,6,3,"mob gathered, vehicles set ablaze, curfew imposed","Investigation reveals that mob gathered, vehicles set ablaze, curfew imposed. Reported at Bidar.",Open,3,7,,Country-made pistol,demo-synthetic
FIRNEW-2024-990037,Bengaluru City,Bengaluru Industrial Area PS,Molestation,Crime Against Women,3,12.987209,77.611165,8761892e9ffffff,8861892e91fffff,8961892e903ffff,2026-06-03T18:26:00,2026-06-04T18:57:00,18,2,"followed victim, verbal abuse, repeat offender","As per the FIR, followed victim, verbal abuse, repeat offender. Reported at Bengaluru City.",Open,1,1,,,demo-synthetic
FIRNEW-2025-990038,Udupi,Udupi Cantonment PS,POCSO,Crime Against Children,5,13.341543,74.709049,87601e818ffffff,88601e8189fffff,89601e8188fffff,2026-06-05T18:52:00,2026-06-07T19:27:00,18,4,"known person, grooming alleged, neighbour accused","Investigation reveals that known person, grooming alleged, neighbour accused. Reported at Udupi.",Open,1,4,,,demo-synthetic
FIRNEW-2026-990039,Mysuru,Kalaburagi Nagar PS,Burglary,Property,4,12.301312,76.663873,876015d9cffffff,886015d9c3fffff,896015d9c23ffff,2026-06-01T01:16:00,2026-06-01T10:11:00,1,0,"back door pried open, cash and gold stolen, occupants away on travel","On the date of incident, back door pried open, cash and gold stolen, occupants away on travel. Reported at Kalaburagi.",Open,1,1,260700.0,,demo-synthetic
FIRNEW-2023-990040,Koppal,Koppal Nagar PS,Phishing / OTP Fraud,Cybercrime,3,15.377694,76.181279,8760a1269ffffff,8860a12695fffff,8960a126943ffff,2026-06-09T00:42:00,2026-06-16T01:16:00,0,1,"SIM swap executed, bank account drained, social engineering used","As per the FIR, SIM swap executed, bank account drained, social engineering used. Reported at Koppal.",Open,1,1,240100.0,,demo-synthetic
FIRNEW-2024-990041,Ramanagara,Ramanagara Nagar PS,House Theft,Property,4,12.739225,77.239836,8760140b0ffffff,8860140b07fffff,8960140b067ffff,2026-06-08T23:33:00,2026-06-09T04:12:00,23,0,"door latch lifted, ornaments stolen, domestic help suspected","On the date of incident, door latch lifted, ornaments stolen, domestic help suspected. Reported at Ramanagara.",Open,1,1,183000.0,,demo-synthetic
FIRNEW-2025-990042,Bengaluru City,Bengaluru Nagar PS,Attempt to Murder,Violent,4,12.994836,77.699956,8761892e0ffffff,8861892e0dfffff,8961892e0cbffff,2026-06-13T03:48:00,2026-06-13T06:47:00,3,5,"ambush near residence, stabbed and fled, gang rivalry","On the date of incident, ambush near residence, stabbed and fled, gang rivalry. Reported at Bengaluru City.",Open,1,1,,Country-made pistol,demo-synthetic
FIRNEW-2026-990043,Bengaluru City,Bengaluru South PS,Assault,Violent,3,12.971592,77.631333,8761892edffffff,8861892ed1fffff,8961892ed1bffff,2026-06-05T03:07:00,2026-06-05T04:47:00,3,4,"old enmity, hit with blunt object, near liquor shop","The victim states that old enmity, hit with blunt object, near liquor shop. Reported at Bengaluru City.",Open,3,1,,Country-made pistol,demo-synthetic
FIRNEW-2023-990044,Bengaluru City,Bengaluru City PS,Online Financial Fraud,Cybercrime,2,12.996824,77.593542,8760145b6ffffff,8860145b61fffff,8960145b617ffff,2026-06-10T07:45:00,2026-06-10T20:04:00,7,2,"remote-access app installed, card details captured, spoofed bank SMS","The victim states that remote-access app installed, card details captured, spoofed bank SMS. Reported at Bengaluru City.",Open,1,1,31600.0,,demo-synthetic
FIRNEW-2024-990045,Mysuru,Belagavi East PS,Drug Possession (NDPS),Narcotics,2,12.304212,76.653949,876015d9dffffff,886015d9d5fffff,896015d9d4fffff,2026-06-09T06:35:00,2026-06-11T07:33:00,6,1,"tip-off acted upon, contraband in vehicle, supplied near college","The victim states that tip-off acted upon, contraband in vehicle, supplied near college. Reported at Belagavi.",Open,1,1,,,demo-synthetic
FIRNEW-2025-990046,Vijayapura,Vijayapura Market PS,POCSO,Crime Against Children,5,16.833926,75.74518,8760aad32ffffff,8860aad323fffff,8960aad322bffff,2026-06-02T20:07:00,2026-06-03T21:00:00,20,1,"inappropriate behaviour, abuse reported by parents, school vicinity","Complainant reports that inappropriate behaviour, abuse reported by parents, school vicinity. Reported at Vijayapura.",Open,1,5,,,demo-synthetic
FIRNEW-2026-990047,Bengaluru City,Bengaluru Rural PS,Online Financial Fraud,Cybercrime,2,12.980897,77.609757,8761892e9ffffff,8861892e9bfffff,8961892e9bbffff,2026-06-03T15:59:00,2026-06-08T16:17:00,15,2,"fake customer-care number, card details captured, spoofed bank SMS","As per the FIR, fake customer-care number, card details captured, spoofed bank SMS. Reported at Bengaluru City.",Open,1,1,418300.0,,demo-synthetic
FIRNEW-2023-990048,Bengaluru City,Shivamogga City PS,Burglary,Property,3,12.985481,77.69932,8761892e0ffffff,8861892e09fffff,8961892e09bffff,2026-06-09T17:53:00,2026-06-10T02:28:00,17,1,"grille cut open, almirah emptied, guard dog poisoned","On the date of incident, grille cut open, almirah emptied, guard dog poisoned. Reported at Shivamogga.",Open,5,4,308200.0,,demo-synthetic
FIRNEW-2024-990049,Mangaluru,Mangaluru East PS,Robbery,Property,4,12.875094,74.902312,876011228ffffff,886011228bfffff,896011228b3ffff,2026-06-03T22:55:00,2026-06-04T00:12:00,22,2,"knife brandished, cash and phone taken, on isolated stretch","Complainant reports that knife brandished, cash and phone taken, on isolated stretch. Reported at Mangaluru.",Open,1,1,14600.0,Machete,demo-synthetic
FIRNEW-2025-990050,Udupi,Udupi Cantonment PS,Domestic Violence,Crime Against Women,3,13.345104,74.740625,87601e811ffffff,88601e8117fffff,89601e81173ffff,2026-06-13T19:21:00,2026-06-15T19:53:00,19,5,"frequent quarrels, physically assaulted, dowry-related","On the date of incident, frequent quarrels, physically assaulted, dowry-related. Reported at Udupi.",Open,1,1,,,demo-synthetic
FIRNEW-2026-990051,Mysuru,Mangaluru Rural PS,Cheating / Fraud,Economic,3,12.305771,76.642576,876015d99ffffff,886015d99dfffff,896015d99d7ffff,2026-06-05T00:18:00,2026-06-08T01:00:00,0,4,"fake investment scheme, cheque dishonoured, shell company used","The victim states that fake investment scheme, cheque dishonoured, shell company used. Reported at Mangaluru.",Open,4,4,3162200.0,,demo-synthetic
FIRNEW-2023-990052,Gadag,Gadag Cantonment PS,Domestic Violence,Crime Against Women,4,15.431209,75.618255,8760ac626ffffff,8860ac71b3fffff,8960ac626cbffff,2026-06-08T10:28:00,2026-06-08T22:58:00,10,0,"frequent quarrels, thrown out of house, dowry-related","Complainant reports that frequent quarrels, thrown out of house, dowry-related. Reported at Gadag.",Open,1,3,,,demo-synthetic
FIRNEW-2024-990053,Mandya,Mandya East PS,Robbery,Property,4,12.543749,76.893405,876014312ffffff,886014312bfffff,896014312abffff,2026-06-06T02:29:00,2026-06-06T06:24:00,2,5,"gang surrounded victim, valuables looted, victim assaulted","Complainant reports that gang surrounded victim, valuables looted, victim assaulted. Reported at Mandya.",Open,1,5,54000.0,Machete,demo-synthetic
FIRNEW-2025-990054,Bengaluru City,Haveri City PS,Phishing / OTP Fraud,Cybercrime,3,12.987818,77.69711,8761892e0ffffff,8861892e09fffff,8961892e08bffff,2026-06-04T22:15:00,2026-06-11T22:41:00,22,3,"SIM swap executed, card not present transaction, caller spoofed bank IVR","As per the FIR, SIM swap executed, card not present transaction, caller spoofed bank IVR. Reported at Haveri.",Open,1,1,276900.0,,demo-synthetic
FIRNEW-2026-990055,Ramanagara,Ramanagara Lake PS,Cheating / Fraud,Economic,3,12.711154,77.282802,87601419affffff,88601419a5fffff,89601419a43ffff,2026-06-01T10:47:00,2026-06-03T11:32:00,10,0,"fake investment scheme, cheque dishonoured, shell company used","Investigation reveals that fake investment scheme, cheque dishonoured, shell company used. Reported at Ramanagara.",Open,1,5,3285400.0,,demo-synthetic
FIRNEW-2023-990056,Hubballi-Dharwad,Hubballi-Dharwad Town PS,Chain Snatching,Property,3,15.372928,75.077656,8760a895bffffff,8860a895b1fffff,8960a895b0fffff,2026-06-13T19:24:00,2026-06-14T20:14:00,19,5,"approached from behind, gold chain snatched, fled towards main road","The victim states that approached from behind, gold chain snatched, fled towards main road. Reported at Hubballi-Dharwad.",Open,1,1,176000.0,,demo-synthetic
FIRNEW-2024-990057,Mysuru,Koppal North PS,Burglary,Property,3,12.316297,76.66124,876015d98ffffff,886015d98dfffff,896015d98c7ffff,2026-06-11T19:02:00,2026-06-11T23:57:00,19,3,"lock picked, almirah emptied, occupants away on travel","As per the FIR, lock picked, almirah emptied, occupants away on travel. Reported at Koppal.",Open,1,1,60300.0,,demo-synthetic
FIRNEW-2025-990058,Vijayapura,Vijayapura North PS,Robbery,Property,4,16.791405,75.719323,8760aad22ffffff,8860aad227fffff,8960aad226bffff,2026-06-02T18:06:00,2026-06-03T00:06:00,18,1,"knife brandished, cash and phone taken, on isolated stretch","The victim states that knife brandished, cash and phone taken, on isolated stretch. Reported at Vijayapura.",Open,1,1,217500.0,,demo-synthetic
FIRNEW-2026-990059,Bengaluru City,Bengaluru West PS,Online Financial Fraud,Cybercrime,2,12.918548,77.539979,8760145a5ffffff,8860145a51fffff,8960145a503ffff,2026-06-12T04:26:00,2026-06-19T05:07:00,4,4,"fake KYC update message, amount debited via UPI, spoofed bank SMS","As per the FIR, fake KYC update message, amount debited via UPI, spoofed bank SMS. Reported at Bengaluru City.",Open,5,4,,,demo-synthetic
FIRNEW-2023-990060,Bengaluru City,Hubballi-Dharwad Market PS,Vehicle Theft,Property,3,12.987502,77.69518,8761892e0ffffff,8861892e09fffff,8961892e08fffff,2026-06-03T00:21:00,2026-06-03T02:15:00,0,2,"master key used, vehicle parts stripped, number plate swapped","Investigation reveals that master key used, vehicle parts stripped, number plate swapped. Reported at Hubballi-Dharwad.",Open,1,1,,,demo-synthetic
FIRNEW-2024-990061,Bengaluru City,Bengaluru Town PS,Missing Person,Missing,1,12.953839,77.58119,87618925bffffff,88618925b3fffff,89618925b33ffff,2026-06-06T18:20:00,2026-06-09T19:05:00,18,5,"left home without informing, phone unreachable, search underway","As per the FIR, left home without informing, phone unreachable, search underway. Reported at Bengaluru City.",Open,1,6,,,demo-synthetic
FIRNEW-2025-990062,Kolar,Kolar Town PS,Assault,Violent,4,13.086003,78.112707,8761890d0ffffff,8861890d09fffff,8961890d097ffff,2026-06-13T20:39:00,2026-06-13T21:54:00,20,5,"argument over money, stabbed during scuffle, near liquor shop","As per the FIR, argument over money, stabbed during scuffle, near liquor shop. Reported at Kolar.",Open,1,1,,,demo-synthetic
FIRNEW-2026-990063,Mysuru,Bagalkote Cantonment PS,Domestic Violence,Crime Against Women,3,12.307092,76.646667,876015d9dffffff,886015d9d7fffff,896015d9d6bffff,2026-06-11T15:14:00,2026-06-11T17:02:00,15,3,"frequent quarrels, thrown out of house, complaint to women's helpline","The victim states that frequent quarrels, thrown out of house, complaint to women's helpline. Reported at Bagalkote.",Open,1,5,,,demo-synthetic
FIRNEW-2023-990064,Tumakuru,Tumakuru Town PS,House Theft,Property,3,13.313202,77.045867,876016a50ffffff,886016a507fffff,896016a5077ffff,2026-06-11T07:28:00,2026-06-11T10:12:00,7,3,"false ceiling crawled, ornaments stolen, daytime when house empty","The victim states that false ceiling crawled, ornaments stolen, daytime when house empty. Reported at Tumakuru.",Open,5,1,533000.0,,demo-synthetic
FIRNEW-2024-990065,Bengaluru City,Bengaluru South PS,Phishing / OTP Fraud,Cybercrime,3,12.971204,77.58841,8760145b4ffffff,8860145b4bfffff,8960145b4bbffff,2026-06-05T00:02:00,2026-06-06T00:52:00,0,4,"OTP obtained on pretext of reward, bank account drained, social engineering used","The victim states that OTP obtained on pretext of reward, bank account drained, social engineering used. Reported at Bengaluru City.",Open,4,1,,,demo-synthetic
FIRNEW-2025-990066,Bengaluru City,Mysuru Market PS,Vehicle Theft,Property,3,12.994855,77.703576,8761892e6ffffff,8861892e0dfffff,8961892e0dbffff,2026-06-01T01:27:00,2026-06-01T14:10:00,1,0,"master key used, vehicle parts stripped, near railway station","The victim states that master key used, vehicle parts stripped, near railway station. Reported at Mysuru.",Open,1,4,485900.0,,demo-synthetic
FIRNEW-2026-990067,Bengaluru City,Bengaluru Nagar PS,Online Financial Fraud,Cybercrime,3,12.930443,77.578563,876189259ffffff,8861892591fffff,896189259abffff,2026-06-13T05:10:00,2026-06-13T17:15:00,5,5,"phishing link sent, OTP shared by victim, spoofed bank SMS","Investigation reveals that phishing link sent, OTP shared by victim, spoofed bank SMS. Reported at Bengaluru City.",Open,2,1,42800.0,,demo-synthetic
FIRNEW-2023-990068,Bengaluru City,Bengaluru North PS,Assault,Violent,4,12.957004,77.594117,87618925bffffff,88618925bdfffff,89618925bc3ffff,2026-06-10T11:31:00,2026-06-10T23:40:00,11,2,"argument over money, stabbed during scuffle, group attack","On the date of incident, argument over money, stabbed during scuffle, group attack. Reported at Bengaluru City.",Open,1,1,,Iron rod,demo-synthetic
